comments,duration,ratings,tags,views
1094,1116,"[{""id"": 22, ""name"": ""Fascinating"", ""count"": 3810}, {""id"": 8, ""name"": ""Informative"", ""count"": 4278}, {""id"": 24, ""name"": ""Persuasive"", ""count"": 4772}, {""id"": 10, ""name"": ""Inspiring"", ""count"": 4797}, {""id"": 11, ""name"": ""Longwinded"", ""count"": 184}, {""id"": 21, ""name"": ""Unconvincing"", ""count"": 133}, {""id"": 26, ""name"": ""Obnoxious"", ""count"": 152}, {""id"": 3, ""name"": ""Courageous"", ""count"": 483}, {""id"": 7, ""name"": ""Funny"", ""count"": 1191}, {""id"": 25, ""name"": ""OK"", ""count"": 489}, {""id"": 9, ""name"": ""Ingenious"", ""count"": 1067}, {""id"": 23, ""name"": ""Jaw-dropping"", ""count"": 825}, {""id"": 1, ""name"": ""Beautiful"", ""count"": 348}, {""id"": 2, ""name"": ""Confusing"", ""count"": 86}]","[""brain"", ""business"", ""creativity"", ""motivation"", ""science"", ""social change"", ""work""]",18830983
1155,1144,"[{""id"": 24, ""name"": ""Persuasive"", ""count"": 3365}, {""id"": 22, ""name"": ""Fascinating"", ""count"": 3157}, {""id"": 10, ""name"": ""Inspiring"", ""count"": 10218}, {""id"": 8, ""name"": ""Informative"", ""count"": 3623}, {""id"": 9, ""name"": ""Ingenious"", ""count"": 830}, {""id"": 26, ""name"": ""Obnoxious"", ""count"": 80}, {""id"": 7, ""name"": ""Funny"", ""count"": 1049}, {""id"": 11, ""name"": ""Longwinded"", ""count"": 163}, {""id"": 21, ""name"": ""Unconvincing"", ""count"": 147}, {""id"": 25, ""name"": ""OK"", ""count"": 469}, {""id"": 3, ""name"": ""Courageous"", ""count"": 3944}, {""id"": 1, ""name"": ""Beautiful"", ""count"": 2467}, {""id"": 23, ""name"": ""Jaw-dropping"", ""count"": 442}, {""id"": 2, ""name"": ""Confusing"", ""count"": 83}]","[""business"", ""culture"", ""introvert"", ""psychology""]",17629275
561,1130,"[{""id"": 24, ""name"": ""Persuasive"", ""count"": 1312}, {""id"": 10, ""name"": ""Inspiring"", ""count"": 866}, {""id"": 2, ""name"": ""Confusing"", ""count"": 95}, {""id"": 22, ""name"": ""Fascinating"", ""count"": 2076}, {""id"": 8, ""name"": ""Informative"", ""count"": 3306}, {""id"": 25, ""name"": ""OK"", ""count"": 493}, {""id"": 9, ""name"": ""Ingenious"", ""count"": 406}, {""id"": 23, ""name"": ""Jaw-dropping"", ""count"": 221}, {""id"": 21, ""name"": ""Unconvincing"", ""count"": 331}, {""id"": 7, ""name"": ""Funny"", ""count"": 321}, {""id"": 11, ""name"": ""Longwinded"", ""count"": 139}, {""id"": 26, ""name"": ""Obnoxious"", ""count"": 63}, {""id"": 3, ""name"": ""Courageous"", ""count"": 174}, {""id"": 1, ""name"": ""Beautiful"", ""count"": 140}]","[""culture"", ""psychology"", ""science"", ""society""]",16861578
527,766,"[{""id"": 10, ""name"": ""Inspiring"", ""count"": 8590}, {""id"": 24, ""name"": ""Persuasive"", ""count"": 1661}, {""id"": 1, ""name"": ""Beautiful"", ""count"": 3825}, {""id"": 8, ""name"": ""Informative"", ""count"": 2868}, {""id"": 22, ""name"": ""Fascinating"", ""count"": 2564}, {""id"": 9, ""name"": ""Ingenious"", ""count"": 217}, {""id"": 3, ""name"": ""Courageous"", ""count"": 368}, {""id"": 25, ""name"": ""OK"", ""count"": 251}, {""id"": 23, ""name"": ""Jaw-dropping"", ""count"": 259}, {""id"": 21, ""name"": ""Unconvincing"", ""count"": 130}, {""id"": 26, ""name"": ""Obnoxious"", ""count"": 31}, {""id"": 2, ""name"": ""Confusing"", ""count"": 25}, {""id"": 7, ""name"": ""Funny"", ""count"": 140}, {""id"": 11, ""name"": ""Longwinded"", ""count"": 119}]","[""TEDx"", ""aging"", ""data"", ""friendship"", ""happiness"", ""health"", ""humanity"", ""life"", ""relationships"", ""society"", ""time"", ""work-life balance""]",16601927
754,740,"[{""id"": 10, ""name"": ""Inspiring"", ""count"": 11213}, {""id"": 1, ""name"": ""Beautiful"", ""count"": 1007}, {""id"": 24, ""name"": ""Persuasive"", ""count"": 3426}, {""id"": 7, ""name"": ""Funny"", ""count"": 7315}, {""id"": 8, ""name"": ""Informative"", ""count"": 3886}, {""id"": 22, ""name"": ""Fascinating"", ""count"": 2529}, {""id"": 3, ""name"": ""Courageous"", ""count"": 471}, {""id"": 23, ""name"": ""Jaw-dropping"", ""count"": 683}, {""id"": 9, ""name"": ""Ingenious"", ""count"": 1162}, {""id"": 25, ""name"": ""OK"", ""count"": 206}, {""id"": 21, ""name"": ""Unconvincing"", ""count"": 82}, {""id"": 2, ""name"": ""Confusing"", ""count"": 61}, {""id"": 11, ""name"": ""Longwinded"", ""count"": 78}, {""id"": 26, ""name"": ""Obnoxious"", ""count"": 61}]","[""TEDx"", ""brain"", ""business"", ""cognitive science"", ""depression"", ""happiness"", ""health"", ""innovation"", ""mental health"", ""mind"", ""motivation"", ""productivity"", ""psychology"", ""science"", ""social change"", ""sociology"", ""work""]",16209727
1329,830,"[{""id"": 23, ""name"": ""Jaw-dropping"", ""count"": 8416}, {""id"": 9, ""name"": ""Ingenious"", ""count"": 4743}, {""id"": 22, ""name"": ""Fascinating"", ""count"": 4403}, {""id"": 10, ""name"": ""Inspiring"", ""count"": 4702}, {""id"": 8, ""name"": ""Informative"", ""count"": 1904}, {""id"": 24, ""name"": ""Persuasive"", ""count"": 535}, {""id"": 3, ""name"": ""Courageous"", ""count"": 663}, {""id"": 1, ""name"": ""Beautiful"", ""count"": 761}, {""id"": 21, ""name"": ""Unconvincing"", ""count"": 171}, {""id"": 2, ""name"": ""Confusing"", ""count"": 83}, {""id"": 26, ""name"": ""Obnoxious"", ""count"": 108}, {""id"": 7, ""name"": ""Funny"", ""count"": 165}, {""id"": 11, ""name"": ""Longwinded"", ""count"": 85}, {""id"": 25, ""name"": ""OK"", ""count"": 341}]","[""demo"", ""design"", ""open-source"", ""technology""]",16097077
296,1219,"[{""id"": 22, ""name"": ""Fascinating"", ""count"": 913}, {""id"": 23, ""name"": ""Jaw-dropping"", ""count"": 897}, {""id"": 24, ""name"": ""Persuasive"", ""count"": 61}, {""id"": 3, ""name"": ""Courageous"", ""count"": 738}, {""id"": 10, ""name"": ""Inspiring"", ""count"": 722}, {""id"": 26, ""name"": ""Obnoxious"", ""count"": 52}, {""id"": 9, ""name"": ""Ingenious"", ""count"": 75}, {""id"": 7, ""name"": ""Funny"", ""count"": 236}, {""id"": 1, ""name"": ""Beautiful"", ""count"": 111}, {""id"": 11, ""name"": ""Longwinded"", ""count"": 38}, {""id"": 25, ""name"": ""OK"", ""count"": 97}, {""id"": 8, ""name"": ""Informative"", ""count"": 147}, {""id"": 21, ""name"": ""Unconvincing"", ""count"": 43}, {""id"": 2, ""name"": ""Confusing"", ""count"": 17}]","[""biology"", ""magic"", ""medicine"", ""performance""]",15601385
285,527,"[{""id"": 24, ""name"": ""Persuasive"", ""count"": 418}, {""id"": 23, ""name"": ""Jaw-dropping"", ""count"": 1873}, {""id"": 7, ""name"": ""Funny"", ""count"": 1864}, {""id"": 9, ""name"": ""Ingenious"", ""count"": 714}, {""id"": 1, ""name"": ""Beautiful"", ""count"": 146}, {""id"": 22, ""name"": ""Fascinating"", ""count"": 1660}, {""id"": 3, ""name"": ""Courageous"", ""count"": 84}, {""id"": 25, ""name"": ""OK"", ""count"": 143}, {""id"": 8, ""name"": ""Informative"", ""count"": 411}, {""id"": 10, ""name"": ""Inspiring"", ""count"": 221}, {""id"": 26, ""name"": ""Obnoxious"", ""count"": 19}, {""id"": 21, ""name"": ""Unconvincing"", ""count"": 21}, {""id"": 11, ""name"": ""Longwinded"", ""count"": 35}, {""id"": 2, ""name"": ""Confusing"", ""count"": 79}]","[""crime"", ""entertainment""]",15283242
310,843,"[{""id"": 3, ""name"": ""Courageous"", ""count"": 1026}, {""id"": 8, ""name"": ""Informative"", ""count"": 2349}, {""id"": 1, ""name"": ""Beautiful"", ""count"": 722}, {""id"": 7, ""name"": ""Funny"", ""count"": 7445}, {""id"": 9, ""name"": ""Ingenious"", ""count"": 1957}, {""id"": 10, ""name"": ""Inspiring"", ""count"": 4387}, {""id"": 22, ""name"": ""Fascinating"", ""count"": 1864}, {""id"": 24, ""name"": ""Persuasive"", ""count"": 1770}, {""id"": 23, ""name"": ""Jaw-dropping"", ""count"": 326}, {""id"": 25, ""name"": ""OK"", ""count"": 280}, {""id"": 21, ""name"": ""Unconvincing"", ""count"": 65}, {""id"": 11, ""name"": ""Longwinded"", ""count"": 53}, {""id"": 26, ""name"": ""Obnoxious"", ""count"": 43}, {""id"": 2, ""name"": ""Confusing"", ""count"": 22}]","[""Internet"", ""brain"", ""choice"", ""comedy"", ""decision-making"", ""entertainment"", ""goal-setting"", ""humor"", ""mind"", ""online video"", ""productivity"", ""time"", ""visualizations"", ""work"", ""writing""]",14745406
970,1276,"[{""id"": 7, ""name"": ""Funny"", ""count"": 1728}, {""id"": 9, ""name"": ""Ingenious"", ""count"": 1166}, {""id"": 2, ""name"": ""Confusing"", ""count"": 241}, {""id"": 1, ""name"": ""Beautiful"", ""count"": 444}, {""id"": 21, ""name"": ""Unconvincing"", ""count"": 174}, {""id"": 11, ""name"": ""Longwinded"", ""count"": 169}, {""id"": 3, ""name"": ""Courageous"", ""count"": 248}, {""id"": 8, ""name"": ""Informative"", ""count"": 3899}, {""id"": 10, ""name"": ""Inspiring"", ""count"": 3554}, {""id"": 22, ""name"": ""Fascinating"", ""count"": 4303}, {""id"": 24, ""name"": ""Persuasive"", ""count"": 2355}, {""id"": 23, ""name"": ""Jaw-dropping"", ""count"": 1047}, {""id"": 25, ""name"": ""OK"", ""count"": 439}, {""id"": 26, ""name"": ""Obnoxious"", ""count"": 67}]","[""TED Brain Trust"", ""brain"", ""choice"", ""culture"", ""evolution"", ""happiness"", ""psychology"", ""science""]",14689301
693,868,"[{""id"": 8, ""name"": ""Informative"", ""count"": 5248}, {""id"": 24, ""name"": ""Persuasive"", ""count"": 1994}, {""id"": 22, ""name"": ""Fascinating"", ""count"": 3904}, {""id"": 9, ""name"": ""Ingenious"", ""count"": 510}, {""id"": 10, ""name"": ""Inspiring"", ""count"": 4678}, {""id"": 11, ""name"": ""Longwinded"", ""count"": 71}, {""id"": 3, ""name"": ""Courageous"", ""count"": 888}, {""id"": 23, ""name"": ""Jaw-dropping"", ""count"": 645}, {""id"": 1, ""name"": ""Beautiful"", ""count"": 697}, {""id"": 7, ""name"": ""Funny"", ""count"": 438}, {""id"": 26, ""name"": ""Obnoxious"", ""count"": 56}, {""id"": 21, ""name"": ""Unconvincing"", ""count"": 230}, {""id"": 25, ""name"": ""OK"", ""count"": 347}, {""id"": 2, ""name"": ""Confusing"", ""count"": 68}]","[""body language"", ""health"", ""psychology""]",14566463
554,327,"[{""id"": 23, ""name"": ""Jaw-dropping"", ""count"": 8328}, {""id"": 22, ""name"": ""Fascinating"", ""count"": 8448}, {""id"": 1, ""name"": ""Beautiful"", ""count"": 5201}, {""id"": 8, ""name"": ""Informative"", ""count"": 3875}, {""id"": 7, ""name"": ""Funny"", ""count"": 815}, {""id"": 10, ""name"": ""Inspiring"", ""count"": 1647}, {""id"": 24, ""name"": ""Persuasive"", ""count"": 236}, {""id"": 9, ""name"": ""Ingenious"", ""count"": 543}, {""id"": 2, ""name"": ""Confusing"", ""count"": 95}, {""id"": 25, ""name"": ""OK"", ""count"": 322}, {""id"": 3, ""name"": ""Courageous"", ""count"": 216}, {""id"": 21, ""name"": ""Unconvincing"", ""count"": 80}, {""id"": 26, ""name"": ""Obnoxious"", ""count"": 126}, {""id"": 11, ""name"": ""Longwinded"", ""count"": 79}]","[""animals"", ""evolution"", ""exploration"", ""fish"", ""oceans"", ""science"", ""technology""]",13926113
669,1189,"[{""id"": 2, ""name"": ""Confusing"", ""count"": 273}, {""id"": 23, ""name"": ""Jaw-dropping"", ""count"": 3715}, {""id"": 9, ""name"": ""Ingenious"", ""count"": 803}, {""id"": 3, ""name"": ""Courageous"", ""count"": 206}, {""id"": 22, ""name"": ""Fascinating"", ""count"": 2555}, {""id"": 10, ""name"": ""Inspiring"", ""count"": 267}, {""id"": 7, ""name"": ""Funny"", ""count"": 1819}, {""id"": 25, ""name"": ""OK"", ""count"": 336}, {""id"": 24, ""name"": ""Persuasive"", ""count"": 252}, {""id"": 21, ""name"": ""Unconvincing"", ""count"": 505}, {""id"": 26, ""name"": ""Obnoxious"", ""count"": 161}, {""id"": 8, ""name"": ""Informative"", ""count"": 137}, {""id"": 1, ""name"": ""Beautiful"", ""count"": 208}, {""id"": 11, ""name"": ""Longwinded"", ""count"": 79}]","[""brain"", ""entertainment"", ""illusion"", ""magic""]",13327101
1155,1129,"[{""id"": 1, ""name"": ""Beautiful"", ""count"": 5607}, {""id"": 10, ""name"": ""Inspiring"", ""count"": 9566}, {""id"": 3, ""name"": ""Courageous"", ""count"": 2817}, {""id"": 11, ""name"": ""Longwinded"", ""count"": 109}, {""id"": 24, ""name"": ""Persuasive"", ""count"": 3002}, {""id"": 8, ""name"": ""Informative"", ""count"": 2687}, {""id"": 23, ""name"": ""Jaw-dropping"", ""count"": 948}, {""id"": 26, ""name"": ""Obnoxious"", ""count"": 78}, {""id"": 7, ""name"": ""Funny"", ""count"": 713}, {""id"": 22, ""name"": ""Fascinating"", ""count"": 2983}, {""id"": 21, ""name"": ""Unconvincing"", ""count"": 103}, {""id"": 9, ""name"": ""Ingenious"", ""count"": 744}, {""id"": 25, ""name"": ""OK"", ""count"": 333}, {""id"": 2, ""name"": ""Confusing"", ""count"": 85}]","[""Africa"", ""books"", ""culture"", ""identity"", ""storytelling"", ""writing""]",13298341
1604,1149,"[{""id"": 1, ""name"": ""Beautiful"", ""count"": 4027}, {""id"": 8, ""name"": ""Informative"", ""count"": 738}, {""id"": 3, ""name"": ""Courageous"", ""count"": 2239}, {""id"": 10, ""name"": ""Inspiring"", ""count"": 8130}, {""id"": 9, ""name"": ""Ingenious"", ""count"": 1329}, {""id"": 7, ""name"": ""Funny"", ""count"": 1754}, {""id"": 21, ""name"": ""Unconvincing"", ""count"": 546}, {""id"": 11, ""name"": ""Longwinded"", ""count"": 351}, {""id"": 26, ""name"": ""Obnoxious"", ""count"": 182}, {""id"": 23, ""name"": ""Jaw-dropping"", ""count"": 870}, {""id"": 25, ""name"": ""OK"", ""count"": 553}, {""id"": 22, ""name"": ""Fascinating"", ""count"": 2093}, {""id"": 24, ""name"": ""Persuasive"", ""count"": 1206}, {""id"": 2, ""name"": ""Confusing"", ""count"": 138}]","[""creativity"", ""culture"", ""entertainment"", ""personality"", ""poetry"", ""work"", ""writing""]",13155478
659,372,"[{""id"": 10, ""name"": ""Inspiring"", ""count"": 4847}, {""id"": 9, ""name"": ""Ingenious"", ""count"": 374}, {""id"": 8, ""name"": ""Informative"", ""count"": 2420}, {""id"": 24, ""name"": ""Persuasive"", ""count"": 1380}, {""id"": 25, ""name"": ""OK"", ""count"": 597}, {""id"": 22, ""name"": ""Fascinating"", ""count"": 866}, {""id"": 1, ""name"": ""Beautiful"", ""count"": 464}, {""id"": 3, ""name"": ""Courageous"", ""count"": 464}, {""id"": 11, ""name"": ""Longwinded"", ""count"": 47}, {""id"": 26, ""name"": ""Obnoxious"", ""count"": 87}, {""id"": 21, ""name"": ""Unconvincing"", ""count"": 181}, {""id"": 2, ""name"": ""Confusing"", ""count"": 65}, {""id"": 23, ""name"": ""Jaw-dropping"", ""count"": 148}, {""id"": 7, ""name"": ""Funny"", ""count"": 129}]","[""business"", ""education"", ""psychology"", ""success""]",12039978
593,1190,"[{""id"": 9, ""name"": ""Ingenious"", ""count"": 3202}, {""id"": 7, ""name"": ""Funny"", ""count"": 1390}, {""id"": 1, ""name"": ""Beautiful"", ""count"": 942}, {""id"": 3, ""name"": ""Courageous"", ""count"": 318}, {""id"": 11, ""name"": ""Longwinded"", ""count"": 110}, {""id"": 2, ""name"": ""Confusing"", ""count"": 72}, {""id"": 21, ""name"": ""Unconvincing"", ""count"": 67}, {""id"": 8, ""name"": ""Informative"", ""count"": 5433}, {""id"": 10, ""name"": ""Inspiring"", ""count"": 2893}, {""id"": 22, ""name"": ""Fascinating"", ""count"": 4606}, {""id"": 23, ""name"": ""Jaw-dropping"", ""count"": 3736}, {""id"": 24, ""name"": ""Persuasive"", ""count"": 2542}, {""id"": 25, ""name"": ""OK"", ""count"": 248}, {""id"": 26, ""name"": ""Obnoxious"", ""count"": 61}]","[""Africa"", ""Asia"", ""Google"", ""demo"", ""economics"", ""global development"", ""global issues"", ""health"", ""math"", ""statistics"", ""visualizations""]",12005869
1355,1346,"[{""id"": 3, ""name"": ""Courageous"", ""count"": 8668}, {""id"": 8, ""name"": ""Informative"", ""count"": 2356}, {""id"": 9, ""name"": ""Ingenious"", ""count"": 190}, {""id"": 23, ""name"": ""Jaw-dropping"", ""count"": 311}, {""id"": 21, ""name"": ""Unconvincing"", ""count"": 180}, {""id"": 10, ""name"": ""Inspiring"", ""count"": 5126}, {""id"": 24, ""name"": ""Persuasive"", ""count"": 1919}, {""id"": 1, ""name"": ""Beautiful"", ""count"": 1600}, {""id"": 7, ""name"": ""Funny"", ""count"": 143}, {""id"": 11, ""name"": ""Longwinded"", ""count"": 151}, {""id"": 25, ""name"": ""OK"", ""count"": 284}, {""id"": 22, ""name"": ""Fascinating"", ""count"": 584}, {""id"": 26, ""name"": ""Obnoxious"", ""count"": 202}, {""id"": 2, ""name"": ""Confusing"", ""count"": 62}]","[""communication"", ""media"", ""social media"", ""suicide"", ""technology""]",11443190
